indice_no,id_no,tipo_no,id_projeto,nome,latitude,longitude,ipi_final,posicao_ipi_final,posicao_shortlist_227A,snap_source_m,snap_destination_m,snap_max_m,classe_snap,nome_via_source,nome_via_destination,apto_matriz_operacional,motivo_qualidade_operacional,indice_no_original_228,indice_no_operacional
53,P_3886.42-09,projeto,3886.42-09,Obra de Reforma no CEPSUL,-26.9093200227242,-48.65214,46.66666666666666,306.0,53,6.960665126,6.960665126,6.960665126,ate_100m,,,True,snap_ate_500m,53,52
54,P_1535.42-53,projeto,1535.42-53,16 01093/2013,-26.83351337,-48.73664451,46.66666666666666,449.0,54,9.222752832,9.222752832,9.222752832,ate_100m,Rodovia Ingo Hering,Rodovia Ingo Hering,True,snap_ate_500m,54,53
55,P_17254.42-03,projeto,17254.42-03,PONTE,-26.51572,-48.8006,60.0,66.0,55,35.38287581,35.38287581,35.38287581,ate_100m,Rua José Isídio de Lima,Rua José Isídio de Lima,True,snap_ate_500m,55,54
56,P_16382.42-81,projeto,16382.42-81,Reforma e Adequação do Bloco A do CED,-27.602118172126147,-48.52288697055295,60.0,104.0,56,45.69018989,45.69018989,45.69018989,ate_100m,Rua Engenheiro Agrônomo Andrey Cristian Ferreira / Rua Engenheiro Agrônomo Andrey Cristian Ferreira,Rua Engenheiro Agrônomo Andrey Cristian Ferreira / Rua Engenheiro Agrônomo Andrey Cristian Ferreira,True,snap_ate_500m,56,55
57,P_3855.42-27,projeto,3855.42-27,Obra instalação novo Angiógrafo,-27.5974400238976,-48.51841,60.0,60.0,57,38.70458843,38.70458843,38.70458843,ate_100m,,,True,snap_ate_500m,57,56
58,P_28891.42-01,projeto,28891.42-01,[GAS] OBRA DE RECUPERAÇÃO E REFORÇO ESTRUTURAL DO BLOCO 2,-26.9014173690317,-49.0045085643298,53.333333333333336,187.0,58,1.493924487,1.493924487,1.493924487,ate_100m,,,True,snap_ate_500m,58,57
59,P_50614.42-33,projeto,50614.42-33,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA A ELABORAÇÃO PROJETOS EXECUTIVOS DE ARQUITETURA E ENGENHARIA PARA REFORMA DA COBERTURA, REINSTALAÇÃO DE SISTEMA FOTOVOLTAICO E REGULARIZAÇÃO DO CAMPUS",-27.6000719406735,-48.5722552294677,53.333333333333336,252.0,59,41.18050951,41.18050951,41.18050951,ate_100m,,,True,snap_ate_500m,59,58
60,P_31212.42-37,projeto,31212.42-37,"Requalificação viária com a implantação de drenagem pluvial, pavimentação e sinalização viária da Rua Manoel Ferreira",-26.77887,-48.67991,40.0,689.0,60,1.994399833,1.994399833,1.994399833,ate_100m,Rua Manoel Ferreira,Rua Manoel Ferreira,True,snap_ate_500m,60,59
61,P_45166.42-17,projeto,45166.42-17,Sedec - Recuperação de Infraestrutura afetada por desastre 59053.010353/2023-40,-27.003050022884,-48.66916,20.0,2465.0,61,8.015516977,8.015516977,8.015516977,ate_100m,Rua Brinco de Princesa,Rua Brinco de Princesa,True,snap_ate_500m,61,60
62,P_53517.42-71,projeto,53517.42-71,CENTRO DE INOVAÇÃO DO MUNICÍPIO DE BRUSQUE,-27.1029709830002,-48.9155537629531,60.0,83.0,62,16.87074666,16.87074666,16.87074666,ate_100m,,,True,snap_ate_500m,62,61
